sample,type,setting
Ara-3_60000gen_11725,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-19_nanopore_LTEE-Ara-3-clones/fastq/FAW56288_pass_barcode12_73f328a7_0d270851.fastq.gz
Ara-3_60000gen_11726,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode14.fastq.gz
Ara-3_75000gen_JEB1701,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-03-28_nanopore_LTEE-75k-A-clones/fastq/FAV71531_pass_barcode09_8e9173c7_ad36453c.fastq.gz
Ara-3_75000gen_JEB1702,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-08_nanopore_LTEE-75K-B-clones/fastq/FAW52214_pass_barcode03_f37fe127_f1f55164.fastq.gz
Ara-4_10000gen_4539A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode15.fastq.gz
Ara-4_10000gen_4539B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-12-10_MinION_FBA76692/fastq/FBA76692_barcode19.fastq.gz
Ara-4_20000gen_8596A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-12-10_MinION_FBA76692/fastq/FBA76692_barcode20.fastq.gz
Ara-4_20000gen_8596A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode16.fastq.gz
Ara-4_20000gen_8596B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-12-10_MinION_FBA76692/fastq/FBA76692_barcode21.fastq.gz
Ara-4_20000gen_8596B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode17.fastq.gz
Ara-4_30000gen_10401,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-12-10_MinION_FBA76692/fastq/FBA76692_barcode22.fastq.gz
Ara-4_30000gen_10401,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode18.fastq.gz
Ara-4_30000gen_10402,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-12-10_MinION_FBA76692/fastq/FBA76692_barcode23.fastq.gz
Ara-4_30000gen_10402,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode20.fastq.gz
Ara-4_40000gen_10944,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-12-10_MinION_FBA76692/fastq/FBA76692_barcode24.fastq.gz
Ara-4_40000gen_10944,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode19.fastq.gz
Ara-4_40000gen_10945,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode21.fastq.gz
Ara-4_40000gen_10945,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode25.fastq.gz
Ara-4_50000gen_11336,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode22.fastq.gz
Ara-4_50000gen_11336,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode26.fastq.gz
Ara-4_50000gen_11337,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode29.fastq.gz
Ara-4_60000gen_11697,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode23.fastq.gz
Ara-4_60000gen_11697,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode27.fastq.gz
Ara-4_60000gen_11698,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-05_MinION_FBA48709/fastq/FBA48709_barcode24.fastq.gz
Ara-4_60000gen_11698,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2025-02-12_MinION_FBC10744/fastq/FBC10744_barcode28.fastq.gz
Ara-4_75000gen_JEB1705,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-03-28_nanopore_LTEE-75k-A-clones/fastq/FAV71531_pass_barcode10_8e9173c7_ad36453c.fastq.gz
Ara-4_75000gen_JEB1706,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2023-06-08_nanopore_LTEE-75K-B-clones/fastq/FAW52214_pass_barcode04_f37fe127_f1f55164.fastq.gz
Ara-5_10000gen_4540A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-10-23_MinION_FBA70260/fastq/FBA70260_barcode08.fastq.gz
Ara-5_10000gen_4540B,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-10-23_MinION_FBA70260/fastq/FBA70260_barcode09.fastq.gz
Ara-5_20000gen_8597A,nanopore,lftp@utbox://Barrick Lab/Databases/Sequencing_Runs/2024-10-23_MinION_FBA70260/fastq/FBA70260_barcode10.fastq.gz
